"Text","meanRating","nRatings","Class","ControlGroup","Learner","TextType","Language","Time"
"GermanTexts/S/M_PLD_4_arg_D_C_2.txt",4.25,16,"M",FALSE,"4","arg","D","2"
"GermanTexts/S/M_PLD_8_arg_D_C_3.txt",4.3125,16,"M",FALSE,"8","arg","D","3"
"GermanTexts/S/M_PLD_9_arg_D_C_3.txt",4.3125,16,"M",FALSE,"9","arg","D","3"
"GermanTexts/S/N_CD_12_narr_D_C_2.txt",6.86666666666667,15,"N",TRUE,"12","narr","D","2"
"GermanTexts/S/N_CD_18_narr_D_C_1.txt",5.9375,16,"N",TRUE,"18","narr","D","1"
"GermanTexts/S/N_CD_1_narr_D_C_3.txt",3.25,16,"N",TRUE,"1","narr","D","3"
"GermanTexts/S/N_CD_6_arg_D_C_3.txt",8.4375,16,"N",TRUE,"6","arg","D","3"
"GermanTexts/S/N_CD_7_arg_D_C_3.txt",7.625,16,"N",TRUE,"7","arg","D","3"
"GermanTexts/S/O_PLD_11_narr_D_C_1.txt",5.1875,16,"O",FALSE,"11","narr","D","1"
"GermanTexts/S/O_PLD_12_arg_D_C_2.txt",6.66666666666667,15,"O",FALSE,"12","arg","D","2"
"GermanTexts/S/O_PLD_1_narr_D_C_1.txt",3.5625,16,"O",FALSE,"1","narr","D","1"
"GermanTexts/S/O_PLD_4_arg_D_C_1.txt",4.4375,16,"O",FALSE,"4","arg","D","1"
"GermanTexts/S/S_CD_10_arg_D_C_3.txt",6.6875,16,"S",TRUE,"10","arg","D","3"
"GermanTexts/S/S_CD_13_arg_D_C_1.txt",4,16,"S",TRUE,"13","arg","D","1"
"GermanTexts/S/S_CD_2_arg_D_C_2.txt",4.8125,16,"S",TRUE,"2","arg","D","2"
"GermanTexts/S/U_CD_11_narr_D_C_2.txt",5.6875,16,"U",TRUE,"11","narr","D","2"
"GermanTexts/S/U_CD_5_arg_D_C_2.txt",5.6875,16,"U",TRUE,"5","arg","D","2"
"GermanTexts/S/U_CD_5_narr_D_C_3.txt",5.75,16,"U",TRUE,"5","narr","D","3"
"GermanTexts/S/U_CD_6_arg_D_C_3.txt",5.5625,16,"U",TRUE,"6","arg","D","3"
"GermanTexts/S/U_CD_7_arg_D_C_1.txt",5.6875,16,"U",TRUE,"7","arg","D","1"
"GermanTexts/S/V_CD_10_arg_D_C_1.txt",3.4375,16,"V",TRUE,"10","arg","D","1"
"GermanTexts/S/V_CD_10_arg_D_C_2.txt",5.1875,16,"V",TRUE,"10","arg","D","2"
"GermanTexts/S/V_CD_10_narr_D_C_1.txt",4.625,16,"V",TRUE,"10","narr","D","1"
"GermanTexts/S/V_CD_19_narr_D_C_2.txt",6.5625,16,"V",TRUE,"19","narr","D","2"
"GermanTexts/S/V_CD_21_narr_D_C_1.txt",3.8125,16,"V",TRUE,"21","narr","D","1"
"GermanTexts/S/V_CD_28_arg_D_C_1.txt",5.1875,16,"V",TRUE,"28","arg","D","1"
"GermanTexts/S/V_CD_29_arg_D_C_2.txt",4.8125,16,"V",TRUE,"29","arg","D","2"
"GermanTexts/S/V_CD_5_narr_D_C_3.txt",6.875,16,"V",TRUE,"5","narr","D","3"
"GermanTexts/S/V_CD_7_narr_D_C_3.txt",5.6875,16,"V",TRUE,"7","narr","D","3"
"GermanTexts/S/X_PND_4_narr_D_C_2.txt",5.375,16,"X",FALSE,"4","narr","D","2"
"GermanTexts/T/AB_PLD_3_narr_D_C_2.txt",6.92307692307692,13,"AB",FALSE,"3","narr","D","2"
"GermanTexts/T/AC_PLD_1_arg_D_C_1.txt",5.16666666666667,12,"AC",FALSE,"1","arg","D","1"
"GermanTexts/T/AC_PLD_2_arg_D_C_2.txt",5.76923076923077,13,"AC",FALSE,"2","arg","D","2"
"GermanTexts/T/AC_PLD_2_arg_D_C_3.txt",7.07692307692308,13,"AC",FALSE,"2","arg","D","3"
"GermanTexts/T/AF_PLD_2_narr_D_C_1.txt",5.15384615384615,13,"AF",FALSE,"2","narr","D","1"
"GermanTexts/T/AG_PLD_2_arg_D_C_2.txt",3.30769230769231,13,"AG",FALSE,"2","arg","D","2"
"GermanTexts/T/E_PLD_1_narr_D_C_1.txt",5.30769230769231,13,"E",FALSE,"1","narr","D","1"
"GermanTexts/T/E_PLD_3_arg_D_C_1.txt",5.15384615384615,13,"E",FALSE,"3","arg","D","1"
"GermanTexts/T/E_PLD_5_narr_D_C_1.txt",3.69230769230769,13,"E",FALSE,"5","narr","D","1"
"GermanTexts/T/E_PLD_6_narr_D_C_1.txt",4.76923076923077,13,"E",FALSE,"6","narr","D","1"
"GermanTexts/T/E_PLD_9_arg_D_C_1.txt",4.92307692307692,13,"E",FALSE,"9","arg","D","1"
"GermanTexts/T/F_PLD_7_arg_D_C_3.txt",5.07692307692308,13,"F",FALSE,"7","arg","D","3"
"GermanTexts/T/H_PLD_2_narr_D_C_1.txt",4.38461538461539,13,"H",FALSE,"2","narr","D","1"
"GermanTexts/T/H_PLD_6_narr_D_C_2.txt",5.91666666666667,12,"H",FALSE,"6","narr","D","2"
"GermanTexts/T/I_PLD_4_arg_D_C_1.txt",2.92307692307692,13,"I",FALSE,"4","arg","D","1"
"GermanTexts/T/J_PLD_4_arg_D_C_2.txt",6.23076923076923,13,"J",FALSE,"4","arg","D","2"
"GermanTexts/T/L_PLD_14_narr_D_C_3.txt",3.15384615384615,13,"L",FALSE,"14","narr","D","3"
"GermanTexts/T/L_PLD_19_arg_D_C_3.txt",4.53846153846154,13,"L",FALSE,"19","arg","D","3"
"GermanTexts/T/L_PLD_1_narr_D_C_2.txt",5.30769230769231,13,"L",FALSE,"1","narr","D","2"
"GermanTexts/T/L_PLD_8_arg_D_C_2.txt",4.61538461538461,13,"L",FALSE,"8","arg","D","2"
"GermanTexts/T/M_PLD_10_narr_D_C_3.txt",3.46153846153846,13,"M",FALSE,"10","narr","D","3"
"GermanTexts/T/M_PLD_11_narr_D_C_3.txt",5.23076923076923,13,"M",FALSE,"11","narr","D","3"
"GermanTexts/T/M_PLD_2_arg_D_C_1.txt",3.38461538461538,13,"M",FALSE,"2","arg","D","1"
"GermanTexts/T/M_PLD_2_arg_D_C_2.txt",4.84615384615385,13,"M",FALSE,"2","arg","D","2"
"GermanTexts/T/N_CD_10_narr_D_C_2.txt",7.15384615384615,13,"N",TRUE,"10","narr","D","2"
"GermanTexts/T/N_CD_16_arg_D_C_2.txt",5.38461538461539,13,"N",TRUE,"16","arg","D","2"
"GermanTexts/T/N_CD_17_arg_D_C_2.txt",5.76923076923077,13,"N",TRUE,"17","arg","D","2"
"GermanTexts/T/N_CD_17_narr_D_C_3.txt",6.15384615384615,13,"N",TRUE,"17","narr","D","3"
"GermanTexts/T/N_CD_21_arg_D_C_2.txt",6.69230769230769,13,"N",TRUE,"21","arg","D","2"
"GermanTexts/T/N_CD_3_arg_D_C_3.txt",5.92307692307692,13,"N",TRUE,"3","arg","D","3"
"GermanTexts/T/N_CD_6_narr_D_C_1.txt",5.07692307692308,13,"N",TRUE,"6","narr","D","1"
"GermanTexts/T/O_PLD_12_narr_D_C_2.txt",6.53846153846154,13,"O",FALSE,"12","narr","D","2"
