"Text","meanRating","nRatings","Class","ControlGroup","Learner","TextType","Language","Time"
"FrenchTexts/Q/AD_PLF_26_narr_F_C_3.txt",5.22222222222222,9,"AD",FALSE,"26","narr","F","3"
"FrenchTexts/Q/AD_PLF_28_arg_F_C_3.txt",5.22222222222222,9,"AD",FALSE,"28","arg","F","3"
"FrenchTexts/Q/AD_PLF_6_narr_F_C_3.txt",6.77777777777778,9,"AD",FALSE,"6","narr","F","3"
"FrenchTexts/Q/AE_PLF_5_arg_F_C_1.txt",5.77777777777778,9,"AE",FALSE,"5","arg","F","1"
"FrenchTexts/Q/A_PLF_15_arg_F_C_1.txt",4.33333333333333,9,"A",FALSE,"15","arg","F","1"
"FrenchTexts/Q/A_PLF_5_arg_F_C_2.txt",3.55555555555556,9,"A",FALSE,"5","arg","F","2"
"FrenchTexts/Q/A_PLF_8_narr_F_C_2.txt",3.77777777777778,9,"A",FALSE,"8","narr","F","2"
"FrenchTexts/Q/C_PLF_10_arg_F_C_2.txt",6,9,"C",FALSE,"10","arg","F","2"
"FrenchTexts/Q/C_PLF_19_arg_F_C_1.txt",5.22222222222222,9,"C",FALSE,"19","arg","F","1"
"FrenchTexts/Q/D_PLF_3_arg_F_C_1.txt",5.44444444444444,9,"D",FALSE,"3","arg","F","1"
"FrenchTexts/Q/D_PLF_8_arg_F_C_3.txt",7,9,"D",FALSE,"8","arg","F","3"
"FrenchTexts/Q/P_CF_10_arg_F_C_2.txt",6,9,"P",TRUE,"10","arg","F","2"
"FrenchTexts/Q/P_CF_14_narr_F_C_2.txt",4.66666666666667,9,"P",TRUE,"14","narr","F","2"
"FrenchTexts/Q/P_CF_2_arg_F_C_1.txt",5.77777777777778,9,"P",TRUE,"2","arg","F","1"
"FrenchTexts/Q/P_CF_3_arg_F_C_1.txt",4.88888888888889,9,"P",TRUE,"3","arg","F","1"
"FrenchTexts/Q/Q_CF_14_arg_F_C_2.txt",6.55555555555556,9,"Q",TRUE,"14","arg","F","2"
"FrenchTexts/Q/Q_CF_15_narr_F_C_1.txt",4.66666666666667,9,"Q",TRUE,"15","narr","F","1"
"FrenchTexts/Q/Q_CF_17_arg_F_C_3.txt",5.44444444444444,9,"Q",TRUE,"17","arg","F","3"
"FrenchTexts/Q/Q_CF_3_narr_F_C_3.txt",8.66666666666667,9,"Q",TRUE,"3","narr","F","3"
"FrenchTexts/Q/Q_CF_7_arg_F_C_2.txt",6.22222222222222,9,"Q",TRUE,"7","arg","F","2"
"FrenchTexts/Q/Q_CF_8_arg_F_C_3.txt",6.44444444444444,9,"Q",TRUE,"8","arg","F","3"
"FrenchTexts/Q/R_CF_11_narr_F_C_3.txt",6.22222222222222,9,"R",TRUE,"11","narr","F","3"
"FrenchTexts/Q/R_CF_14_arg_F_C_3.txt",5.33333333333333,9,"R",TRUE,"14","arg","F","3"
"FrenchTexts/Q/R_CF_1_narr_F_C_1.txt",4.77777777777778,9,"R",TRUE,"1","narr","F","1"
"FrenchTexts/Q/T_CF_13_narr_F_C_2.txt",6,9,"T",TRUE,"13","narr","F","2"
"FrenchTexts/Q/T_CF_18_narr_F_C_3.txt",6.77777777777778,9,"T",TRUE,"18","narr","F","3"
"FrenchTexts/Q/T_CF_20_narr_F_C_3.txt",6.11111111111111,9,"T",TRUE,"20","narr","F","3"
"FrenchTexts/Q/T_CF_4_arg_F_C_1.txt",5.44444444444444,9,"T",TRUE,"4","arg","F","1"
"FrenchTexts/Q/T_CF_8_narr_F_C_2.txt",4.66666666666667,9,"T",TRUE,"8","narr","F","2"
"FrenchTexts/Q/W_CF_14_arg_F_C_2.txt",5.33333333333333,9,"W",TRUE,"14","arg","F","2"
"FrenchTexts/Q/W_CF_16_arg_F_C_1.txt",5.55555555555556,9,"W",TRUE,"16","arg","F","1"
"FrenchTexts/Q/Y_PNF_17_narr_F_C_1.txt",4,9,"Y",FALSE,"17","narr","F","1"
"FrenchTexts/Q/Y_PNF_23_narr_F_C_1.txt",4.22222222222222,9,"Y",FALSE,"23","narr","F","1"
"FrenchTexts/Q/Y_PNF_24_narr_F_C_2.txt",5.66666666666667,9,"Y",FALSE,"24","narr","F","2"
"FrenchTexts/Q/Y_PNF_27_narr_F_C_2.txt",6.55555555555556,9,"Y",FALSE,"27","narr","F","2"
"FrenchTexts/Q/Y_PNF_32_arg_F_C_2.txt",5,9,"Y",FALSE,"32","arg","F","2"
"FrenchTexts/Q/Y_PNF_33_arg_F_C_2.txt",5.55555555555556,9,"Y",FALSE,"33","arg","F","2"
"FrenchTexts/Q/Y_PNF_3_narr_F_C_3.txt",6.22222222222222,9,"Y",FALSE,"3","narr","F","3"
"FrenchTexts/Q/Y_PNF_8_narr_F_C_1.txt",4.55555555555556,9,"Y",FALSE,"8","narr","F","1"
